capture_name	capture_type	num_reqs	total_query_tokens	capture_max_query_len	max_seq_len	num_decode_tokens	num_query_heads	num_kv_heads	head_size	block_size	num_blocks	kv_layout	num_kv_blocks_iterated	dtype	implementation	variant	benchmark_mode	span	model	ms	min_ms	max_ms	device_time_memory_us	memory_share_pct	cpu_time_ms	allclose_pass	max_abs_diff	num_outliers	fallback_clean	error	seqlen	decode_share
decode_ctx512	decode	1	1	1	512	1	32	8	128	128	128	folded	4	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	0.12471000000000004	0.12315800000000002	0.12580600000000003	12.938500000000033	10.374869697698685	0.43527699999999997	True	0.001220703125	0	True		512	1.0
decode_ctx2048	decode	1	1	1	2048	1	32	8	128	128	128	folded	16	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	0.436591	0.434175	0.43873300000000015	25.71999999999997	5.8910971595841355	0.536875	True	0.0005950927734375	0	True		2048	1.0
decode_ctx3200	decode	1	1	1	3200	1	32	8	128	128	128	folded	25	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	0.6682369999999999	0.6646299999999999	0.6722770000000001	34.29899999999992	5.132759784328005	0.664807	True	0.00054931640625	0	True		3200	1.0
decode_ctx8192	decode	1	1	1	8192	1	32	8	128	128	128	folded	64	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	1.6755585000000002	1.657087	1.690112	67.7405	4.0428609326382805	1.0514809999999999	True	0.00054931640625	0	True		8192	1.0
