capture_name	capture_type	num_reqs	total_query_tokens	capture_max_query_len	max_seq_len	num_decode_tokens	num_query_heads	num_kv_heads	head_size	block_size	num_blocks	kv_layout	num_kv_blocks_iterated	dtype	implementation	variant	benchmark_mode	span	model	ms	min_ms	max_ms	device_time_memory_us	memory_share_pct	cpu_time_ms	allclose_pass	max_abs_diff	num_outliers	fallback_clean	error	seqlen	decode_share
decode_ctx512	decode	1	1	1	512	1	32	8	128	128	64	folded	4	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	0.12430849999999992	0.12278000000000008	0.1278910000000002	13.073500000000024	10.516979932989322	0.407875	True	0.0029296875	0	True		512	1.0
decode_ctx1024	decode	1	1	1	1024	1	32	8	128	128	64	folded	8	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	0.22666000000000008	0.22486800000000004	0.227557	16.194500000000005	7.14484249536751	0.44780650000000005	True	0.002197265625	0	True		1024	1.0
decode_ctx2048	decode	1	1	1	2048	1	32	8	128	128	64	folded	16	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	0.43460950000000004	0.431606	0.43844799999999984	24.2974999999999	5.5906509176628445	0.5565995	True	0.0012664794921875	0	True		2048	1.0
decode_ctx3200	decode	1	1	1	3200	1	32	8	128	128	64	folded	25	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	0.6667015	0.654864	0.670665	33.11749999999995	4.967365455154962	0.6476285	True	0.0008544921875	0	True		3200	1.0
decode_ctx4096	decode	1	1	1	4096	1	32	8	128	128	64	folded	32	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	0.8497615000000001	0.84838	0.8550270000000001	40.916499999999985	4.815056930679959	0.7180700000000001	True	0.000762939453125	0	True		4096	1.0
decode_ctx8192	decode	1	1	1	8192	1	32	8	128	128	64	folded	64	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	1.6791779999999998	1.6461819999999998	1.6823130000000002	67.92449999999997	4.045104211703582	1.0586	True	0.00054931640625	0	True		8192	1.0
