capture_name	capture_type	num_reqs	total_query_tokens	capture_max_query_len	max_seq_len	num_decode_tokens	num_query_heads	num_kv_heads	head_size	block_size	num_blocks	kv_layout	num_kv_blocks_iterated	dtype	implementation	variant	benchmark_mode	span	model	ms	min_ms	max_ms	device_time_memory_us	memory_share_pct	cpu_time_ms	allclose_pass	max_abs_diff	num_outliers	fallback_clean	error	seqlen	decode_share
decode_ctx512	decode	1	1	1	512	1	32	8	128	128	64	slot_major_devfill	4	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	0.27447299999999997	0.2725320000000001	0.27553200000000005	13.623999999999995	4.963694060982318	0.3515005	True	0.0	0	True		512	1.0
decode_ctx1024	decode	1	1	1	1024	1	32	8	128	128	64	slot_major_devfill	8	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	0.5402039999999999	0.537254	0.542219	18.535499999999985	3.4312037674656213	0.378591	True	2.6702880859375e-05	0	True		1024	1.0
decode_ctx2048	decode	1	1	1	2048	1	32	8	128	128	64	slot_major_devfill	16	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	1.076154	1.071969	1.078203	28.866499999999974	2.682376314170646	0.4409725000000001	True	1.9073486328125e-05	0	True		2048	1.0
decode_ctx3200	decode	1	1	1	3200	1	32	8	128	128	64	slot_major_devfill	25	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	1.6816769999999999	1.669355	1.686366	42.13749999999999	2.5056833149290854	0.471609	True	3.814697265625e-05	0	True		3200	1.0
decode_ctx4096	decode	1	1	1	4096	1	32	8	128	128	64	slot_major_devfill	32	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	2.1440435000000004	2.1223289999999997	2.14986	50.823500000000024	2.370450972659837	0.5280309999999999	True	6.103515625e-05	0	True		4096	1.0
decode_ctx8192	decode	1	1	1	8192	1	32	8	128	128	64	slot_major_devfill	64	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	4.257105999999999	4.234327	4.273696000000001	93.35700000000003	2.192968650533955	0.692651	True	0.0001068115234375	0	True		8192	1.0
