capture_name	capture_type	num_reqs	total_query_tokens	capture_max_query_len	max_seq_len	num_decode_tokens	num_query_heads	num_kv_heads	head_size	block_size	num_blocks	kv_layout	num_kv_blocks_iterated	dtype	implementation	variant	benchmark_mode	span	model	ms	min_ms	max_ms	device_time_memory_us	memory_share_pct	cpu_time_ms	allclose_pass	max_abs_diff	num_outliers	fallback_clean	error	seqlen	decode_share
decode_ctx512	decode	1	1	1	512	1	32	8	128	128	64	plain	4	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	2.7372165000000006	2.71717	2.750759	21.99799999999999	0.8036631373513929	0.3577725	True	0.0029296875	0	True		512	1.0
decode_ctx1024	decode	1	1	1	1024	1	32	8	128	128	64	plain	8	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	5.595257999999999	5.566051000000001	5.625139	36.18300000000002	0.6466725931136691	0.375154	True	0.002197265625	0	True		1024	1.0
decode_ctx2048	decode	1	1	1	2048	1	32	8	128	128	64	plain	16	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	11.140141999999999	11.081010999999998	11.200496999999999	63.52700000000078	0.5702530542249891	0.5536575	True	0.0012664794921875	0	True		2048	1.0
decode_ctx3200	decode	1	1	1	3200	1	32	8	128	128	64	plain	25	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	17.8261565	17.727956	17.903723	94.15000000000003	0.5281564761310159	0.5877665	True	0.0008544921875	0	True		3200	1.0
decode_ctx4096	decode	1	1	1	4096	1	32	8	128	128	64	plain	32	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	21.346182999999996	0.12753399999999998	21.429813	126.76049999999998	0.5938321619373356	0.6245689999999999	True	0.000762939453125	0	True		4096	1.0
decode_ctx8192	decode	1	1	1	8192	1	32	8	128	128	64	plain	64	torch.float16	Implementation.SPYRE_ONLINE_SOFTMAX	online_softmax_compiled	BenchmarkMode.SPYRE_PROFILER	spyre_attn::online_softmax	granite-3.3-8b-instruct	45.549966	45.182316	45.849315000000004	223.87800000000004	0.4914998180240135	0.8109505	True	0.00054931640625	0	True		8192	1.0
